tap_id,x_ft,y_ft,surface,note
10004,0.25,3.88,wall1,
10008,0.25,8.4,wall1,
10013,0.25,12.58,wall1,
10404,3.94,3.88,wall1,
10408,3.94,8.4,wall1,
10413,3.94,12.58,wall1,
10804,7.63,3.88,wall1,
10808,7.63,8.4,wall1,
10813,7.63,12.58,wall1,
11104,11.31,3.88,wall1,
11108,11.31,8.4,wall1,
11113,11.31,12.58,wall1,
11504,15.0,3.88,wall1,
11508,15.0,8.4,wall1,
11513,15.0,12.58,wall1,
11904,18.69,3.88,wall1,
11908,18.69,8.4,wall1,
11913,18.69,12.58,wall1,
12304,22.58,3.88,wall1,
12308,22.39,8.4,wall1,
12313,22.39,12.58,wall1,
12604,26.06,3.88,wall1,
12608,26.06,8.4,wall1,
12613,26.06,12.58,wall1,
13004,29.75,3.88,wall1,
13008,29.75,8.4,wall1,
13013,29.75,12.58,wall1,
20004,0.025,3.88,wall2,
20008,0.025,8.4,wall2,
20013,0.025,12.58,wall2,
20504,5.19,3.88,wall2,
20508,5.19,8.4,wall2,
20513,5.19,12.58,wall2,
21004,10.12,3.88,wall2,
21008,10.12,8.4,wall2,
21013,10.12,12.58,wall2,
21504,15.06,3.88,wall2,
21508,15.06,8.4,wall2,
21513,15.06,12.58,wall2,
22004,20.06,3.88,wall2,
22008,20.06,8.4,wall2,
22013,20.06,12.58,wall2,
22504,24.94,3.88,wall2,
22508,24.94,8.4,wall2,
22513,24.94,12.58,wall2,
23004,29.88,3.88,wall2,
23008,29.88,8.4,wall2,
23013,29.88,12.58,wall2,
23504,34.81,3.88,wall2,
23508,34.81,8.4,wall2,
23513,34.81,12.58,wall2,
24004,39.75,3.88,wall2,
24008,39.75,8.4,wall2,
24013,39.75,12.58,wall2,
24504,44.69,3.88,wall2,
24508,44.69,8.4,wall2,
24513,44.69,12.58,wall2,
30004,0.25,3.88,wall3,
30008,0.25,8.4,wall3,
30013,0.25,12.58,wall3,
30404,3.94,3.88,wall3,
30408,3.94,8.4,wall3,
30413,3.94,12.58,wall3,
30804,7.63,3.88,wall3,
30808,7.63,8.4,wall3,
30813,7.63,12.58,wall3,
31104,11.31,3.88,wall3,
31108,11.31,8.4,wall3,
31113,11.31,12.58,wall3,
31504,15.0,3.88,wall3,
31508,15.0,8.4,wall3,
31513,15.0,12.58,wall3,
31904,18.69,3.88,wall3,
31908,18.69,8.4,wall3,
31913,18.69,12.58,wall3,
32304,22.39,3.88,wall3,
32308,22.39,8.4,wall3,
32313,22.39,12.58,wall3,
32604,26.06,3.88,wall3,
32608,26.06,8.4,wall3,
32613,26.06,12.58,wall3,
33004,29.75,3.88,wall3,
33008,29.75,8.4,wall3,
33013,29.75,12.58,wall3,
40004,0.025,3.88,wall4,
40008,0.025,8.4,wall4,
40013,0.025,12.58,wall4,
40504,5.19,3.88,wall4,
40508,5.19,8.4,wall4,
40513,5.19,12.58,wall4,
41004,10.12,3.88,wall4,
41008,10.12,8.4,wall4,
41013,10.12,12.58,wall4,
41504,15.06,3.88,wall4,
41508,15.06,8.4,wall4,
41513,15.06,12.58,wall4,
42004,20.06,3.88,wall4,
42008,20.06,8.4,wall4,
42013,20.06,12.58,wall4,
42504,24.94,3.88,wall4,
42508,24.94,8.4,wall4,
42513,24.94,12.58,wall4,
43004,29.88,3.88,wall4,
43008,29.88,8.4,wall4,
43013,29.88,12.58,wall4,
43504,34.81,3.88,wall4,
43508,34.81,8.4,wall4,
43513,34.81,12.58,wall4,
44004,39.75,3.88,wall4,
44008,39.75,8.4,wall4,
44013,39.75,12.58,wall4,
44504,44.69,3.88,wall4,
44508,44.69,8.4,wall4,
44513,44.69,12.58,wall4,
50000,0.29,0.54,roof,renamed from surveyed ID 50001 (roof-edge Y=0 nominal/surveyed convention)
50005,0.29,4.94,roof,
50010,0.29,9.88,roof,
50015,0.29,14.82,roof,
50020,0.29,19.76,roof,
50025,0.29,24.7,roof,
50030,0.29,29.64,roof,
50035,0.29,34.58,roof,
50040,0.29,39.52,roof,
50045,0.29,44.46,roof,renamed from surveyed ID 50044 (roof-edge Y=0 nominal/surveyed convention)
50300,2.79,0.54,roof,renamed from surveyed ID 50301 (roof-edge Y=0 nominal/surveyed convention)
50305,2.79,4.94,roof,
50310,2.79,9.88,roof,
50315,2.79,14.82,roof,
50320,2.79,19.76,roof,
50325,2.79,24.7,roof,
50330,2.79,29.64,roof,
50335,2.79,34.58,roof,
50340,2.79,39.52,roof,
50345,2.79,44.46,roof,
50500,5.29,0.54,roof,renamed from surveyed ID 50501 (roof-edge Y=0 nominal/surveyed convention)
50505,5.29,4.94,roof,
50510,5.29,9.88,roof,
50515,5.29,14.82,roof,
50520,5.29,19.76,roof,
50525,5.29,24.7,roof,
50530,5.29,29.64,roof,
50535,5.29,34.58,roof,
50540,5.29,39.52,roof,
50545,5.29,44.46,roof,
51000,10.29,0.54,roof,renamed from surveyed ID 51001 (roof-edge Y=0 nominal/surveyed convention)
51005,10.29,4.94,roof,
51010,10.29,9.88,roof,
51015,10.29,14.82,roof,
51020,10.29,19.76,roof,
51025,10.29,24.7,roof,
51030,10.29,29.64,roof,
51035,10.29,34.58,roof,
51040,10.29,39.52,roof,
51045,10.29,44.46,roof,
51500,15.29,0.54,roof,renamed from surveyed ID 51501 (roof-edge Y=0 nominal/surveyed convention)
51505,15.29,4.94,roof,
51510,15.29,9.88,roof,
51515,15.29,14.82,roof,
51520,15.29,19.76,roof,
51525,15.29,24.7,roof,
51530,15.29,29.64,roof,
51535,15.29,34.58,roof,
51540,15.29,39.52,roof,
51545,15.29,44.46,roof,
52000,20.29,0.54,roof,renamed from surveyed ID 52001 (roof-edge Y=0 nominal/surveyed convention)
52005,20.29,4.94,roof,
52010,20.29,9.88,roof,
52015,20.29,14.82,roof,
52020,20.29,19.76,roof,
52025,20.29,24.7,roof,
52030,20.29,29.64,roof,
52035,20.29,34.58,roof,
52040,20.29,39.52,roof,
52045,20.29,44.46,roof,
52500,25.29,0.54,roof,renamed from surveyed ID 52501 (roof-edge Y=0 nominal/surveyed convention)
52505,25.29,4.94,roof,
52510,25.29,9.88,roof,
52515,25.29,14.82,roof,
52520,25.29,19.76,roof,
52525,25.29,24.7,roof,
52530,25.29,29.64,roof,
52535,25.29,34.58,roof,
52540,25.29,39.52,roof,
52545,25.29,44.46,roof,
52800,27.79,0.54,roof,renamed from surveyed ID 52801 (roof-edge Y=0 nominal/surveyed convention)
52805,27.79,4.94,roof,
52810,27.79,9.88,roof,
52815,27.79,14.82,roof,
52820,27.79,19.76,roof,
52825,27.79,24.7,roof,
52830,27.79,29.64,roof,
52835,27.79,34.58,roof,
52840,27.79,39.52,roof,
52845,27.79,44.46,roof,
53000,29.71,0.54,roof,renamed from surveyed ID 53001 (roof-edge Y=0 nominal/surveyed convention)
53005,29.71,4.94,roof,
53010,29.71,9.88,roof,
53015,29.71,14.82,roof,
53020,29.71,19.76,roof,
53025,29.71,24.7,roof,
53030,29.71,29.64,roof,
53035,29.71,34.58,roof,
53040,29.71,39.52,roof,
53045,29.71,44.46,roof,
